Match #,Team #,Position,Scouter,Question,Bubble,Value
1,6910,Blue 1,Patricio,AutoMobility,Success,False
1,6910,Blue 1,Patricio,AutoMobility,DNA,False
1,6910,Blue 1,Patricio,AutoDocked,Success,True
1,6910,Blue 1,Patricio,AutoDocked,DNA,False
1,6910,Blue 1,Patricio,AutoEngaged,Success,False
1,6910,Blue 1,Patricio,AutoEngaged,DNA,False
1,6910,Blue 1,Patricio,TeleopDefensePlayed,Success,False
1,6910,Blue 1,Patricio,TeleopDefenseReceived,Success,False
1,6910,Blue 1,Patricio,TeleopDriverQuality,1,False
1,6910,Blue 1,Patricio,TeleopDriverQuality,2,False
1,6910,Blue 1,Patricio,TeleopDriverQuality,3,True
1,6910,Blue 1,Patricio,TeleopDriverQuality,4,False
1,6910,Blue 1,Patricio,TeleopDriverQuality,5,False
1,6910,Blue 1,Patricio,TeleopMechanicalQuality,1,False
1,6910,Blue 1,Patricio,TeleopMechanicalQuality,2,False
1,6910,Blue 1,Patricio,TeleopMechanicalQuality,3,True
1,6910,Blue 1,Patricio,TeleopMechanicalQuality,4,False
1,6910,Blue 1,Patricio,TeleopMechanicalQuality,5,False
1,6910,Blue 1,Patricio,TeleopDisqualified,Success,False
1,6910,Blue 1,Patricio,TeleopHPInteraction,Success,False
1,6910,Blue 1,Patricio,AutoHighNode,Cone_1,False
1,6910,Blue 1,Patricio,AutoHighNode,Cube_2,False
1,6910,Blue 1,Patricio,AutoHighNode,Cone_3,False
1,6910,Blue 1,Patricio,AutoHighNode,Cone_4,False
1,6910,Blue 1,Patricio,AutoHighNode,Cube_5,False
1,6910,Blue 1,Patricio,AutoHighNode,Cone_6,False
1,6910,Blue 1,Patricio,AutoHighNode,Cone_7,False
1,6910,Blue 1,Patricio,AutoHighNode,Cube_8,False
1,6910,Blue 1,Patricio,AutoHighNode,Cone_9,False
1,6910,Blue 1,Patricio,AutoMidNode,Cone_1,False
1,6910,Blue 1,Patricio,AutoMidNode,Cube_2,False
1,6910,Blue 1,Patricio,AutoMidNode,Cone_3,False
1,6910,Blue 1,Patricio,AutoMidNode,Cone_4,False
1,6910,Blue 1,Patricio,AutoMidNode,Cube_5,False
1,6910,Blue 1,Patricio,AutoMidNode,Cone_6,False
1,6910,Blue 1,Patricio,AutoMidNode,Cone_7,False
1,6910,Blue 1,Patricio,AutoMidNode,Cube_8,False
1,6910,Blue 1,Patricio,AutoMidNode,Cone_9,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_1,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_1,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_2,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_2,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_3,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_3,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_4,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_4,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_5,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_5,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_6,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_6,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_7,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_7,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_8,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_8,False
1,6910,Blue 1,Patricio,AutoLowNode,Cube_9,False
1,6910,Blue 1,Patricio,AutoLowNode,Cone_9,False
1,6910,Blue 1,Patricio,TeleopHighNode,Cone_1,False
1,6910,Blue 1,Patricio,TeleopHighNode,Cube_2,False
1,6910,Blue 1,Patricio,TeleopHighNode,Cone_3,False
1,6910,Blue 1,Patricio,TeleopHighNode,Cone_4,False
1,6910,Blue 1,Patricio,TeleopHighNode,Cube_5,True
1,6910,Blue 1,Patricio,TeleopHighNode,Cone_6,False
1,6910,Blue 1,Patricio,TeleopHighNode,Cone_7,False
1,6910,Blue 1,Patricio,TeleopHighNode,Cube_8,True
1,6910,Blue 1,Patricio,TeleopHighNode,Cone_9,False
1,6910,Blue 1,Patricio,TeleopMidNode,Cone_1,False
1,6910,Blue 1,Patricio,TeleopMidNode,Cube_2,False
1,6910,Blue 1,Patricio,TeleopMidNode,Cone_3,False
